[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.82', ' 0.76', ' 0.00', ' 0.00', ' 1.81', ' 0.89', ' 0.00', ' 0.00', ' 0.46', ' 0.00', ' 1.28', ' 0.26', ' 0.00']
['emma_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 0.85', ' 0.00', ' 0.00', ' 1.30', ' 0.91', ' 0.00', ' 0.00', ' 0.14', ' 0.19', ' 1.04', ' 0.94', ' 0.00']
['obama_0.3.csv', ' 0.00', ' 0.01', ' 0.00', ' 0.26', ' 2.36', ' 2.15', ' 0.86', ' 2.93', ' 2.97', ' 2.00', ' 0.00', ' 0.48', ' 0.58', ' 0.76', ' 2.60', ' 0.00', ' 0.04']
['obama_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.23', ' 2.42', ' 2.22', ' 0.84', ' 3.03', ' 3.09', ' 1.98', ' 0.00', ' 0.47', ' 0.29', ' 0.80', ' 2.65', ' 0.00', ' 0.04']
['obama_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 2.46', ' 2.01', ' 0.82', ' 3.12', ' 3.06', ' 1.84', ' 0.00', ' 0.22', ' 0.44', ' 0.80', ' 2.65', ' 0.00', ' 0.13']
['obama_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.57', ' 2.55', ' 1.77', ' 0.85', ' 3.34', ' 3.12', ' 1.91', ' 0.00', ' 0.27', ' 0.51', ' 0.81', ' 2.74', ' 0.00', ' 0.07']
['obama_0.38.csv', ' 0.00', ' 0.02', ' 0.00', ' 0.26', ' 2.54', ' 1.89', ' 1.06', ' 3.44', ' 3.16', ' 2.14', ' 0.00', ' 0.38', ' 0.28', ' 0.73', ' 2.81', ' 0.10', ' 0.05']
['obama_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.13', ' 2.56', ' 2.02', ' 0.89', ' 3.39', ' 3.18', ' 1.96', ' 0.00', ' 0.38', ' 0.39', ' 0.89', ' 2.85', ' 0.41', ' 0.03']
['obama_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.06', ' 2.52', ' 2.02', ' 0.87', ' 3.34', ' 3.12', ' 2.13', ' 0.00', ' 0.24', ' 0.36', ' 0.64', ' 2.85', ' 0.41', ' 0.11']
['obama_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.54', ' 2.21', ' 0.98', ' 3.12', ' 3.04', ' 2.04', ' 0.00', ' 0.25', ' 0.43', ' 0.55', ' 2.88', ' 0.43', ' 0.07']
['obama_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.60', ' 2.29', ' 1.20', ' 3.01', ' 3.04', ' 2.01', ' 0.00', ' 0.00', ' 0.11', ' 0.41', ' 2.86', ' 0.83', ' 0.00']
['obama_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.14', ' 2.64', ' 2.33', ' 1.11', ' 2.78', ' 2.91', ' 2.27', ' 0.00', ' 0.00', ' 0.02', ' 0.42', ' 2.71', ' 0.97', ' 0.06']
['obama_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.64', ' 1.89', ' 1.00', ' 2.67', ' 2.93', ' 2.51', ' 0.00', ' 0.34', ' 0.28', ' 0.47', ' 2.73', ' 0.78', ' 0.11']
['obama_mean.csv', ' 0.06', ' 0.00', ' 0.00', ' 0.10', ' 1.37', ' 0.94', ' 0.13', ' 0.80', ' 2.11', ' 1.46', ' 0.00', ' 0.00', ' 0.28', ' 0.73', ' 2.04', ' 0.00', ' 0.02']
['selena_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.63', ' 1.18', ' 0.00', ' 0.00', ' 1.96', ' 0.52', ' 0.00', ' 0.00', ' 0.98', ' 0.00', ' 1.91', ' 0.40', ' 0.00']
['selena_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.70', ' 1.27', ' 0.00', ' 0.00', ' 1.87', ' 0.69', ' 0.00', ' 0.00', ' 0.75', ' 0.00', ' 1.92', ' 0.58', ' 0.00']
['selena_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.70', ' 1.18', ' 0.00', ' 0.00', ' 1.96', ' 0.53', ' 0.00', ' 0.00', ' 0.63', ' 0.00', ' 1.88', ' 0.28', ' 0.00']
['selena_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.72', ' 1.21', ' 0.00', ' 0.00', ' 1.97', ' 0.41', ' 0.00', ' 0.00', ' 0.74', ' 0.00', ' 1.94', ' 0.37', ' 0.00']
['selena_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.73', ' 1.11', ' 0.00', ' 0.00', ' 2.06', ' 0.40', ' 0.00', ' 0.00', ' 0.67', ' 0.00', ' 1.95', ' 0.48', ' 0.00']
['selena_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 1.00', ' 0.00', ' 0.00', ' 2.18', ' 0.47', ' 0.00', ' 0.00', ' 0.89', ' 0.00', ' 1.91', ' 0.48', ' 0.00']
['selena_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.80', ' 1.31', ' 0.00', ' 0.00', ' 2.22', ' 0.48', ' 0.00', ' 0.00', ' 0.74', ' 0.00', ' 1.97', ' 0.49', ' 0.00']
['selena_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.90', ' 1.39', ' 0.00', ' 0.00', ' 2.28', ' 0.42', ' 0.00', ' 0.00', ' 0.72', ' 0.00', ' 2.01', ' 0.41', ' 0.00']
['selena_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.12', ' 1.61', ' 0.00', ' 0.10', ' 2.39', ' 0.52', ' 0.00', ' 0.00', ' 0.63', ' 0.00', ' 2.10', ' 0.26', ' 0.00']
['selena_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.18', ' 1.81', ' 0.00', ' 0.07', ' 2.48', ' 0.33', ' 0.00', ' 0.00', ' 0.76', ' 0.00', ' 2.07', ' 0.30', ' 0.00']
['selena_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.26', ' 1.71', ' 0.00', ' 0.22', ' 2.49', ' 0.36', ' 0.00', ' 0.00', ' 0.68', ' 0.00', ' 2.17', ' 0.33', ' 0.00']
['selena_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 0.00', ' 0.00', ' 1.13', ' 0.09', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 1.21', ' 0.48', ' 0.00']
['taylor_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.08', ' 1.49', ' 0.20', ' 0.31', ' 1.72', ' 0.64', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.87', ' 0.00', ' 0.12']
['taylor_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.41', ' 1.40', ' 0.41', ' 0.45', ' 1.74', ' 0.48', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 1.00', ' 0.00', ' 0.01']
['taylor_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.36', ' 1.31', ' 0.29', ' 0.49', ' 1.77', ' 0.58', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.98', ' 0.00', ' 0.00']
['taylor_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.38', ' 1.62', ' 0.35', ' 0.62', ' 1.83', ' 0.62', ' 0.00', ' 0.00', ' 0.00', ' 0.02', ' 1.05', ' 0.00', ' 0.01']
['taylor_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.50', ' 1.33', ' 0.32', ' 0.83', ' 1.96', ' 0.73', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.26', ' 0.00', ' 0.00']
['taylor_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.43', ' 1.12', ' 0.24', ' 0.76', ' 2.03', ' 0.80', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.38', ' 0.00', ' 0.00']
['taylor_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.57', ' 1.27', ' 0.38', ' 1.06', ' 2.04', ' 1.06', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.44', ' 0.00', ' 0.00']
['taylor_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.66', ' 1.20', ' 0.38', ' 1.00', ' 2.10', ' 1.09', ' 0.00', ' 0.00', ' 0.00', ' 0.17', ' 1.43', ' 0.00', ' 0.00']
['taylor_0.46.csv', ' 0.00', ' 0.00', ' 0.12', ' 0.00', ' 1.68', ' 1.25', ' 0.51', ' 1.06', ' 2.10', ' 1.31', ' 0.00', ' 0.00', ' 0.00', ' 0.16', ' 1.32', ' 0.00', ' 0.00']
['taylor_0.48.csv', ' 0.09', ' 0.00', ' 0.19', ' 0.00', ' 1.76', ' 1.16', ' 0.50', ' 1.14', ' 2.07', ' 1.30', ' 0.00', ' 0.00', ' 0.00', ' 0.20', ' 1.17', ' 0.00', ' 0.00']
['taylor_0.5.csv', ' 0.21', ' 0.00', ' 0.35', ' 0.00', ' 1.85', ' 1.16', ' 0.50', ' 1.19', ' 2.04', ' 1.40', ' 0.00', ' 0.00', ' 0.00', ' 0.29', ' 1.07', ' 0.00', ' 0.00']
['taylor_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.63', ' 0.98', ' 0.00', ' 0.00', ' 1.05', ' 0.00', ' 0.00', ' 0.15', ' 0.00', ' 0.28', ' 0.59', ' 0.00', ' 0.17']
['zac_0.3.csv', ' 0.16', ' 0.00', ' 0.00', ' 0.00', ' 0.81', ' 1.18', ' 0.00', ' 0.00', ' 2.06', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.17', ' 1.59', ' 0.54', ' 0.22']
['zac_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.96', ' 1.65', ' 0.00', ' 0.45', ' 2.30', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.17', ' 1.80', ' 0.82', ' 0.14']
['zac_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.00', ' 1.48', ' 0.00', ' 0.44', ' 2.36', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.12', ' 1.85', ' 0.92', ' 0.27']
['zac_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.07', ' 1.66', ' 0.00', ' 0.39', ' 2.38', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.87', ' 0.97', ' 0.19']
['zac_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.13', ' 1.66', ' 0.00', ' 0.63', ' 2.46', ' 0.13', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.89', ' 1.20', ' 0.14']
['zac_0.4.csv', ' 0.14', ' 0.00', ' 0.00', ' 0.00', ' 1.19', ' 1.79', ' 0.00', ' 0.53', ' 2.58', ' 0.20', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.95', ' 1.07', ' 0.21']
['zac_0.42.csv', ' 0.20', ' 0.00', ' 0.00', ' 0.00', ' 1.32', ' 1.99', ' 0.00', ' 0.54', ' 2.70', ' 0.20', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.01', ' 0.79', ' 0.18']
['zac_0.44.csv', ' 0.15', ' 0.00', ' 0.00', ' 0.00', ' 1.25', ' 2.03', ' 0.00', ' 0.69', ' 2.74', ' 0.37', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.09', ' 0.65', ' 0.28']
['zac_0.46.csv', ' 0.01', ' 0.00', ' 0.00', ' 0.00', ' 1.45', ' 2.16', ' 0.00', ' 0.88', ' 2.81', ' 0.43', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.12', ' 0.86', ' 0.19']
['zac_0.48.csv', ' 0.06', ' 0.00', ' 0.00', ' 0.00', ' 1.56', ' 2.00', ' 0.00', ' 0.85', ' 2.84', ' 0.26', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.14', ' 0.75', ' 0.30']
['zac_0.5.csv', ' 0.10', ' 0.00', ' 0.00', ' 0.00', ' 1.55', ' 1.97', ' 0.00', ' 0.72', ' 2.84', ' 0.58', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.18', ' 0.67', ' 0.26']
['zac_mean.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 1.47', ' 0.00', ' 0.00', ' 1.52', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 1.10', ' 0.00', ' 0.24']
