[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['obama_0.32.csv', ' 0.09', ' 0.25', ' 0.00', ' 0.58', ' 1.55', ' 1.77', ' 0.44', ' 0.93', ' 2.27', ' 1.32', ' 0.00', ' 0.00', ' 0.00', ' 0.35', ' 1.94', ' 0.00', ' 0.18']
['obama_0.34.csv', ' 0.03', ' 0.24', ' 0.00', ' 0.54', ' 1.56', ' 1.54', ' 0.33', ' 1.12', ' 2.27', ' 1.09', ' 0.00', ' 0.00', ' 0.00', ' 0.35', ' 1.91', ' 0.09', ' 0.12']
['obama_0.36.csv', ' 0.09', ' 0.30', ' 0.00', ' 0.42', ' 1.60', ' 1.42', ' 0.43', ' 1.28', ' 2.20', ' 0.98', ' 0.00', ' 0.01', ' 0.00', ' 0.32', ' 1.87', ' 0.12', ' 0.12']
['obama_0.38.csv', ' 0.16', ' 0.36', ' 0.00', ' 0.32', ' 1.61', ' 1.67', ' 0.52', ' 1.26', ' 2.17', ' 1.22', ' 0.00', ' 0.33', ' 0.04', ' 0.47', ' 1.87', ' 0.23', ' 0.09']
['obama_0.4.csv', ' 0.17', ' 0.39', ' 0.00', ' 0.34', ' 1.65', ' 1.85', ' 0.43', ' 1.42', ' 2.18', ' 1.18', ' 0.00', ' 0.25', ' 0.04', ' 0.31', ' 1.88', ' 0.00', ' 0.08']
['obama_0.42.csv', ' 0.25', ' 0.37', ' 0.00', ' 0.12', ' 1.52', ' 1.89', ' 0.38', ' 1.33', ' 2.22', ' 1.32', ' 0.00', ' 0.20', ' 0.10', ' 0.50', ' 1.86', ' 0.15', ' 0.11']
['obama_0.44.csv', ' 0.07', ' 0.30', ' 0.00', ' 0.03', ' 1.56', ' 1.95', ' 0.38', ' 1.50', ' 2.12', ' 1.38', ' 0.00', ' 0.13', ' 0.24', ' 0.31', ' 1.94', ' 0.00', ' 0.01']
['obama_0.46.csv', ' 0.02', ' 0.21', ' 0.00', ' 0.15', ' 1.59', ' 2.22', ' 0.44', ' 1.50', ' 2.18', ' 1.17', ' 0.00', ' 0.33', ' 0.55', ' 0.26', ' 1.95', ' 0.00', ' 0.11']
['obama_0.48.csv', ' 0.00', ' 0.18', ' 0.00', ' 0.05', ' 1.53', ' 2.07', ' 0.35', ' 1.51', ' 2.14', ' 1.19', ' 0.00', ' 0.16', ' 0.83', ' 0.19', ' 1.91', ' 0.03', ' 0.00']
['obama_0.5.csv', ' 0.00', ' 0.10', ' 0.00', ' 0.00', ' 1.48', ' 2.17', ' 0.29', ' 1.43', ' 2.06', ' 1.21', ' 0.00', ' 0.42', ' 0.55', ' 0.29', ' 1.88', ' 0.40', ' 0.02']
['obama_mean.csv', ' 0.06', ' 0.00', ' 0.00', ' 0.10', ' 1.37', ' 0.94', ' 0.13', ' 0.80', ' 2.11', ' 1.46', ' 0.00', ' 0.00', ' 0.28', ' 0.73', ' 2.04', ' 0.00', ' 0.02']
['selena_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.85', ' 0.00', ' 0.00', ' 1.26', ' 0.34', ' 0.00', ' 0.00', ' 0.66', ' 0.00', ' 0.95', ' 0.25', ' 0.08']
['selena_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.02', ' 0.00', ' 0.00', ' 1.21', ' 0.32', ' 0.00', ' 0.00', ' 0.58', ' 0.00', ' 0.84', ' 0.28', ' 0.00']
['selena_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.83', ' 0.00', ' 0.00', ' 1.20', ' 0.25', ' 0.00', ' 0.00', ' 0.62', ' 0.00', ' 0.79', ' 0.25', ' 0.00']
['selena_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.92', ' 0.00', ' 0.00', ' 1.26', ' 0.31', ' 0.00', ' 0.00', ' 0.67', ' 0.00', ' 0.82', ' 0.41', ' 0.00']
['selena_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.05', ' 0.95', ' 0.00', ' 0.00', ' 1.23', ' 0.19', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 0.76', ' 0.42', ' 0.05']
['selena_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.04', ' 1.04', ' 0.00', ' 0.00', ' 1.28', ' 0.41', ' 0.00', ' 0.00', ' 0.56', ' 0.00', ' 0.70', ' 0.41', ' 0.00']
['selena_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.09', ' 0.00', ' 0.00', ' 1.27', ' 0.36', ' 0.00', ' 0.00', ' 0.45', ' 0.00', ' 0.68', ' 0.38', ' 0.01']
['selena_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.79', ' 0.00', ' 0.00', ' 1.34', ' 0.28', ' 0.00', ' 0.00', ' 0.48', ' 0.00', ' 0.59', ' 0.40', ' 0.11']
['selena_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.91', ' 0.00', ' 0.00', ' 1.20', ' 0.33', ' 0.00', ' 0.00', ' 0.34', ' 0.00', ' 0.47', ' 0.24', ' 0.11']
['selena_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.66', ' 0.00', ' 0.00', ' 1.19', ' 0.40', ' 0.00', ' 0.00', ' 0.57', ' 0.00', ' 0.38', ' 0.43', ' 0.05']
['selena_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.15', ' 0.00', ' 0.00', ' 1.22', ' 0.44', ' 0.00', ' 0.00', ' 0.58', ' 0.00', ' 0.28', ' 0.29', ' 0.13']
['selena_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 0.00', ' 0.00', ' 1.13', ' 0.09', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 1.21', ' 0.48', ' 0.00']
['taylor_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 1.37', ' 0.00', ' 0.00', ' 1.22', ' 0.08', ' 0.00', ' 0.39', ' 0.00', ' 0.14', ' 0.13', ' 0.00', ' 0.12']
['taylor_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.82', ' 1.42', ' 0.00', ' 0.00', ' 1.16', ' 0.12', ' 0.00', ' 0.41', ' 0.00', ' 0.02', ' 0.13', ' 0.00', ' 0.16']
['taylor_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 1.16', ' 0.00', ' 0.00', ' 1.26', ' 0.00', ' 0.00', ' 0.38', ' 0.00', ' 0.05', ' 0.00', ' 0.00', ' 0.20']
['taylor_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.69', ' 1.41', ' 0.00', ' 0.00', ' 1.22', ' 0.01', ' 0.00', ' 0.37', ' 0.00', ' 0.02', ' 0.00', ' 0.00', ' 0.25']
['taylor_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.70', ' 1.00', ' 0.00', ' 0.00', ' 1.29', ' 0.00', ' 0.00', ' 0.27', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.19']
['taylor_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.71', ' 1.04', ' 0.03', ' 0.00', ' 1.18', ' 0.00', ' 0.00', ' 0.28', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.17']
['taylor_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.69', ' 0.99', ' 0.10', ' 0.00', ' 1.20', ' 0.03', ' 0.00', ' 0.28', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.23']
['taylor_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.72', ' 0.65', ' 0.13', ' 0.00', ' 1.28', ' 0.25', ' 0.00', ' 0.07', ' 0.00', ' 0.03', ' 0.00', ' 0.00', ' 0.17']
['taylor_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.79', ' 0.59', ' 0.12', ' 0.10', ' 1.30', ' 0.26', ' 0.00', ' 0.23', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.24']
['taylor_0.48.csv', ' 0.00', ' 0.00', ' 0.04', ' 0.00', ' 0.93', ' 0.79', ' 0.23', ' 0.39', ' 1.59', ' 0.63', ' 0.00', ' 0.20', ' 0.00', ' 0.10', ' 0.00', ' 0.00', ' 0.25']
['taylor_0.5.csv', ' 0.02', ' 0.00', ' 0.25', ' 0.00', ' 1.07', ' 0.58', ' 0.25', ' 0.27', ' 1.64', ' 0.77', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.27']
['taylor_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.63', ' 0.98', ' 0.00', ' 0.00', ' 1.05', ' 0.00', ' 0.00', ' 0.15', ' 0.00', ' 0.28', ' 0.59', ' 0.00', ' 0.17']
['zac_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.83', ' 1.41', ' 0.00', ' 0.07', ' 1.83', ' 0.00', ' 0.00', ' 0.03', ' 0.00', ' 0.18', ' 1.05', ' 0.00', ' 0.25']
['zac_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.10', ' 0.81', ' 1.70', ' 0.00', ' 0.00', ' 1.83', ' 0.00', ' 0.00', ' 0.22', ' 0.00', ' 0.31', ' 0.99', ' 0.24', ' 0.30']
['zac_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.83', ' 1.52', ' 0.00', ' 0.04', ' 1.75', ' 0.00', ' 0.00', ' 0.03', ' 0.00', ' 0.32', ' 0.95', ' 0.44', ' 0.25']
['zac_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.94', ' 1.77', ' 0.00', ' 0.01', ' 1.78', ' 0.02', ' 0.00', ' 0.00', ' 0.00', ' 0.24', ' 0.86', ' 0.45', ' 0.21']
['zac_0.38.csv', ' 0.03', ' 0.00', ' 0.00', ' 0.13', ' 0.99', ' 1.77', ' 0.00', ' 0.00', ' 1.88', ' 0.11', ' 0.00', ' 0.13', ' 0.00', ' 0.27', ' 0.84', ' 0.66', ' 0.30']
['zac_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.92', ' 1.39', ' 0.00', ' 0.60', ' 1.89', ' 0.09', ' 0.00', ' 0.00', ' 0.00', ' 0.28', ' 0.96', ' 0.38', ' 0.22']
['zac_0.42.csv', ' 0.01', ' 0.00', ' 0.00', ' 0.00', ' 1.01', ' 1.59', ' 0.00', ' 0.65', ' 1.94', ' 0.21', ' 0.00', ' 0.00', ' 0.00', ' 0.05', ' 0.99', ' 0.51', ' 0.22']
['zac_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.01', ' 1.61', ' 0.01', ' 0.65', ' 1.89', ' 0.07', ' 0.00', ' 0.00', ' 0.00', ' 0.08', ' 0.94', ' 0.54', ' 0.26']
['zac_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.01', ' 1.92', ' 0.03', ' 0.77', ' 1.88', ' 0.17', ' 0.00', ' 0.00', ' 0.00', ' 0.12', ' 0.93', ' 0.49', ' 0.27']
['zac_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.01', ' 1.84', ' 0.00', ' 0.90', ' 1.85', ' 0.02', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.80', ' 0.50', ' 0.38']
['zac_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.16', ' 1.78', ' 0.00', ' 0.96', ' 1.89', ' 0.29', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.76', ' 0.56', ' 0.38']
['zac_mean.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 1.47', ' 0.00', ' 0.00', ' 1.52', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 1.10', ' 0.00', ' 0.24']
