[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['obama_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.39', ' 1.78', ' 0.72', ' 2.33', ' 3.01', ' 1.62', ' 0.00', ' 0.04', ' 0.57', ' 0.49', ' 2.44', ' 0.60', ' 0.00']
['obama_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.22', ' 2.47', ' 1.92', ' 0.86', ' 2.29', ' 3.00', ' 1.61', ' 0.00', ' 0.12', ' 0.70', ' 0.37', ' 2.43', ' 0.91', ' 0.00']
['obama_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.50', ' 1.91', ' 0.93', ' 2.14', ' 2.93', ' 1.39', ' 0.00', ' 0.08', ' 0.80', ' 0.14', ' 2.37', ' 0.90', ' 0.00']
['obama_0.36.csv', ' 0.11', ' 0.00', ' 0.00', ' 0.00', ' 2.53', ' 1.97', ' 1.08', ' 2.33', ' 2.87', ' 1.22', ' 0.07', ' 0.21', ' 0.59', ' 0.13', ' 2.33', ' 0.88', ' 0.00']
['obama_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 2.57', ' 2.18', ' 1.23', ' 2.37', ' 2.83', ' 1.36', ' 0.14', ' 0.29', ' 1.10', ' 0.28', ' 2.30', ' 1.11', ' 0.00']
['obama_0.4.csv', ' 0.18', ' 0.00', ' 0.00', ' 0.00', ' 2.60', ' 2.29', ' 1.38', ' 2.36', ' 2.75', ' 1.32', ' 0.13', ' 0.46', ' 1.36', ' 0.28', ' 2.31', ' 1.06', ' 0.00']
['obama_0.42.csv', ' 0.16', ' 0.00', ' 0.00', ' 0.00', ' 2.63', ' 2.32', ' 1.39', ' 2.52', ' 2.76', ' 1.47', ' 0.18', ' 0.66', ' 1.70', ' 0.14', ' 2.28', ' 1.21', ' 0.00']
['obama_0.44.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.00', ' 2.62', ' 2.31', ' 1.36', ' 2.67', ' 2.73', ' 1.38', ' 0.19', ' 0.64', ' 1.68', ' 0.16', ' 2.25', ' 1.23', ' 0.00']
['obama_0.46.csv', ' 0.25', ' 0.00', ' 0.00', ' 0.00', ' 2.60', ' 2.31', ' 1.33', ' 2.72', ' 2.74', ' 1.49', ' 0.19', ' 1.02', ' 1.62', ' 0.18', ' 2.21', ' 0.80', ' 0.00']
['obama_0.48.csv', ' 0.25', ' 0.00', ' 0.00', ' 0.00', ' 2.65', ' 1.93', ' 1.29', ' 2.66', ' 2.71', ' 1.17', ' 0.00', ' 1.10', ' 1.50', ' 0.32', ' 2.14', ' 1.40', ' 0.00']
['obama_0.5.csv', ' 0.44', ' 0.00', ' 0.00', ' 0.00', ' 2.72', ' 2.28', ' 1.51', ' 2.79', ' 2.58', ' 1.73', ' 0.30', ' 0.95', ' 0.20', ' 0.35', ' 2.00', ' 1.29', ' 0.00']
['obama_mean.csv', ' 0.06', ' 0.00', ' 0.00', ' 0.10', ' 1.37', ' 0.94', ' 0.13', ' 0.80', ' 2.11', ' 1.46', ' 0.00', ' 0.00', ' 0.28', ' 0.73', ' 2.04', ' 0.00', ' 0.02']
['selena_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.77', ' 1.59', ' 0.00', ' 0.00', ' 2.00', ' 0.95', ' 0.00', ' 0.00', ' 0.10', ' 0.00', ' 1.61', ' 0.21', ' 0.10']
['selena_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.75', ' 1.59', ' 0.00', ' 0.00', ' 2.14', ' 0.82', ' 0.00', ' 0.00', ' 0.06', ' 0.00', ' 1.60', ' 0.18', ' 0.22']
['selena_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.72', ' 1.63', ' 0.00', ' 0.00', ' 2.10', ' 0.85', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.61', ' 0.34', ' 0.16']
['selena_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.68', ' 1.74', ' 0.00', ' 0.00', ' 2.26', ' 0.90', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.65', ' 0.49', ' 0.19']
['selena_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.68', ' 1.75', ' 0.10', ' 0.00', ' 2.27', ' 0.98', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.63', ' 0.48', ' 0.25']
['selena_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 1.30', ' 0.30', ' 0.00', ' 2.14', ' 1.03', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.55', ' 0.28', ' 0.18']
['selena_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.59', ' 1.69', ' 0.25', ' 0.00', ' 2.05', ' 1.10', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.54', ' 0.19', ' 0.17']
['selena_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.61', ' 1.60', ' 0.34', ' 0.00', ' 2.03', ' 0.66', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.45', ' 0.16', ' 0.26']
['selena_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.73', ' 1.53', ' 0.44', ' 0.00', ' 1.97', ' 0.78', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.45', ' 0.43', ' 0.24']
['selena_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.65', ' 1.31', ' 0.50', ' 0.00', ' 1.98', ' 0.61', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.30', ' 0.39', ' 0.25']
['selena_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.57', ' 1.53', ' 0.49', ' 0.00', ' 1.94', ' 0.65', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.25', ' 0.54', ' 0.27']
['selena_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 0.00', ' 0.00', ' 1.13', ' 0.09', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 1.21', ' 0.48', ' 0.00']
['taylor_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.31', ' 1.04', ' 0.00', ' 0.30', ' 1.70', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 1.00', ' 1.08', ' 0.00', ' 0.08']
['taylor_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.37', ' 0.86', ' 0.01', ' 0.29', ' 1.63', ' 0.60', ' 0.00', ' 0.00', ' 0.00', ' 0.79', ' 1.06', ' 0.00', ' 0.00']
['taylor_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.27', ' 0.85', ' 0.01', ' 0.26', ' 1.75', ' 0.80', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 0.96', ' 0.00', ' 0.00']
['taylor_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.36', ' 0.68', ' 0.28', ' 0.26', ' 1.64', ' 0.75', ' 0.00', ' 0.00', ' 0.00', ' 0.82', ' 0.91', ' 0.00', ' 0.00']
['taylor_0.38.csv', ' 0.01', ' 0.00', ' 0.10', ' 0.00', ' 1.30', ' 0.59', ' 0.29', ' 0.32', ' 1.66', ' 0.76', ' 0.00', ' 0.00', ' 0.00', ' 0.79', ' 0.85', ' 0.00', ' 0.00']
['taylor_0.4.csv', ' 0.00', ' 0.00', ' 0.39', ' 0.00', ' 1.37', ' 0.82', ' 0.34', ' 0.30', ' 1.67', ' 0.99', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 0.73', ' 0.00', ' 0.00']
['taylor_0.42.csv', ' 0.07', ' 0.00', ' 0.27', ' 0.00', ' 1.26', ' 0.66', ' 0.48', ' 0.32', ' 1.64', ' 0.83', ' 0.00', ' 0.18', ' 0.00', ' 0.49', ' 0.72', ' 0.00', ' 0.00']
['taylor_0.44.csv', ' 0.11', ' 0.00', ' 0.43', ' 0.00', ' 1.33', ' 0.48', ' 0.62', ' 0.43', ' 1.65', ' 0.84', ' 0.00', ' 0.18', ' 0.00', ' 0.45', ' 0.61', ' 0.00', ' 0.00']
['taylor_0.46.csv', ' 0.04', ' 0.00', ' 0.89', ' 0.00', ' 1.28', ' 0.76', ' 0.82', ' 0.35', ' 1.67', ' 1.28', ' 0.00', ' 0.11', ' 0.00', ' 0.51', ' 0.55', ' 0.00', ' 0.00']
['taylor_0.48.csv', ' 0.32', ' 0.00', ' 0.96', ' 0.00', ' 1.32', ' 0.99', ' 1.01', ' 0.55', ' 1.62', ' 1.05', ' 0.00', ' 0.26', ' 0.00', ' 0.57', ' 0.57', ' 0.00', ' 0.00']
['taylor_0.5.csv', ' 0.21', ' 0.00', ' 0.58', ' 0.00', ' 1.28', ' 0.59', ' 0.98', ' 0.57', ' 1.64', ' 0.80', ' 0.00', ' 0.16', ' 0.00', ' 0.49', ' 0.43', ' 0.00', ' 0.00']
['taylor_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.63', ' 0.98', ' 0.00', ' 0.00', ' 1.05', ' 0.00', ' 0.00', ' 0.15', ' 0.00', ' 0.28', ' 0.59', ' 0.00', ' 0.17']
['zac_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.04', ' 1.41', ' 1.85', ' 0.00', ' 0.09', ' 2.19', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.52', ' 1.57', ' 0.18', ' 0.26']
['zac_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.01', ' 1.42', ' 1.54', ' 0.00', ' 0.39', ' 2.31', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.49', ' 1.69', ' 0.53', ' 0.23']
['zac_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.41', ' 1.74', ' 0.00', ' 0.19', ' 2.34', ' 0.00', ' 0.00', ' 0.07', ' 0.00', ' 0.68', ' 1.66', ' 0.35', ' 0.17']
['zac_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.10', ' 1.41', ' 1.89', ' 0.00', ' 0.29', ' 2.36', ' 0.00', ' 0.00', ' 0.09', ' 0.00', ' 0.62', ' 1.66', ' 0.50', ' 0.28']
['zac_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.12', ' 1.40', ' 1.82', ' 0.15', ' 0.35', ' 2.21', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 1.75', ' 0.49', ' 0.29']
['zac_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 1.46', ' 1.85', ' 0.08', ' 0.32', ' 2.29', ' 0.00', ' 0.00', ' 0.10', ' 0.00', ' 0.46', ' 1.78', ' 0.80', ' 0.25']
['zac_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.36', ' 1.64', ' 0.38', ' 0.28', ' 2.13', ' 0.23', ' 0.00', ' 0.00', ' 0.00', ' 0.39', ' 1.70', ' 0.75', ' 0.28']
['zac_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.14', ' 1.49', ' 1.82', ' 0.61', ' 0.47', ' 2.06', ' 0.33', ' 0.00', ' 0.08', ' 0.00', ' 0.40', ' 1.68', ' 0.37', ' 0.36']
['zac_0.46.csv', ' 0.01', ' 0.02', ' 0.00', ' 0.19', ' 1.42', ' 1.51', ' 0.57', ' 0.18', ' 1.91', ' 0.49', ' 0.00', ' 0.15', ' 0.00', ' 0.46', ' 1.37', ' 0.62', ' 0.41']
['zac_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.19', ' 1.30', ' 1.53', ' 0.34', ' 0.25', ' 1.88', ' 0.62', ' 0.00', ' 0.28', ' 0.00', ' 0.55', ' 1.07', ' 0.88', ' 0.42']
['zac_0.5.csv', ' 0.00', ' 0.00', ' 0.26', ' 0.50', ' 1.37', ' 2.11', ' 0.69', ' 0.38', ' 1.73', ' 0.58', ' 0.00', ' 0.37', ' 0.00', ' 0.59', ' 0.97', ' 0.76', ' 0.48']
['zac_mean.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 1.47', ' 0.00', ' 0.00', ' 1.52', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 1.10', ' 0.00', ' 0.24']
