[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.46', ' 0.00', ' 0.51', ' 0.00', ' 0.00', ' 0.52', ' 0.55', ' 0.00', ' 0.00', ' 0.23', ' 0.30', ' 0.11', ' 0.97', ' 0.01']
['emma_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 0.85', ' 0.00', ' 0.00', ' 1.30', ' 0.91', ' 0.00', ' 0.00', ' 0.14', ' 0.19', ' 1.04', ' 0.94', ' 0.00']
['obama_0.3.csv', ' 0.00', ' 0.07', ' 0.00', ' 0.17', ' 1.86', ' 1.55', ' 0.54', ' 1.94', ' 2.41', ' 2.15', ' 0.01', ' 0.02', ' 0.58', ' 0.68', ' 1.81', ' 0.55', ' 0.00']
['obama_0.32.csv', ' 0.00', ' 0.14', ' 0.00', ' 0.37', ' 1.91', ' 1.92', ' 0.62', ' 1.87', ' 2.41', ' 2.12', ' 0.00', ' 0.06', ' 0.45', ' 0.75', ' 1.82', ' 0.85', ' 0.00']
['obama_0.34.csv', ' 0.00', ' 0.07', ' 0.00', ' 0.40', ' 1.98', ' 2.04', ' 0.58', ' 1.87', ' 2.51', ' 1.98', ' 0.11', ' 0.16', ' 0.45', ' 0.73', ' 1.85', ' 0.83', ' 0.00']
['obama_0.36.csv', ' 0.00', ' 0.15', ' 0.00', ' 0.21', ' 1.86', ' 1.79', ' 0.56', ' 1.77', ' 2.43', ' 1.98', ' 0.09', ' 0.30', ' 0.61', ' 0.74', ' 1.89', ' 0.98', ' 0.00']
['obama_0.38.csv', ' 0.00', ' 0.07', ' 0.00', ' 0.20', ' 1.85', ' 1.77', ' 0.52', ' 1.80', ' 2.51', ' 2.03', ' 0.11', ' 0.22', ' 0.31', ' 0.67', ' 1.86', ' 1.09', ' 0.00']
['obama_0.4.csv', ' 0.15', ' 0.11', ' 0.00', ' 0.22', ' 1.89', ' 1.87', ' 0.44', ' 1.79', ' 2.43', ' 1.91', ' 0.22', ' 0.65', ' 0.40', ' 0.67', ' 1.81', ' 1.02', ' 0.06']
['obama_0.42.csv', ' 0.04', ' 0.06', ' 0.00', ' 0.27', ' 1.95', ' 1.88', ' 0.57', ' 1.81', ' 2.44', ' 1.92', ' 0.21', ' 0.50', ' 0.07', ' 0.58', ' 1.96', ' 1.13', ' 0.04']
['obama_0.44.csv', ' 0.02', ' 0.01', ' 0.05', ' 0.16', ' 1.86', ' 2.01', ' 0.61', ' 1.84', ' 2.40', ' 1.76', ' 0.30', ' 0.73', ' 0.25', ' 0.64', ' 2.00', ' 0.86', ' 0.00']
['obama_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.91', ' 1.93', ' 0.58', ' 2.07', ' 2.42', ' 1.55', ' 0.21', ' 0.79', ' 0.49', ' 0.47', ' 2.05', ' 0.85', ' 0.00']
['obama_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.92', ' 2.01', ' 0.65', ' 2.06', ' 2.42', ' 1.58', ' 0.18', ' 0.65', ' 0.40', ' 0.48', ' 2.09', ' 0.96', ' 0.00']
['obama_0.5.csv', ' 0.00', ' 0.00', ' 0.14', ' 0.00', ' 1.93', ' 2.06', ' 0.75', ' 1.90', ' 2.34', ' 1.34', ' 0.23', ' 0.63', ' 0.11', ' 0.36', ' 2.09', ' 0.97', ' 0.00']
['obama_mean.csv', ' 0.06', ' 0.00', ' 0.00', ' 0.10', ' 1.37', ' 0.94', ' 0.13', ' 0.80', ' 2.11', ' 1.46', ' 0.00', ' 0.00', ' 0.28', ' 0.73', ' 2.04', ' 0.00', ' 0.02']
['selena_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.16', ' 0.00', ' 0.00', ' 0.90', ' 0.13', ' 0.00', ' 0.00', ' 0.86', ' 0.00', ' 0.88', ' 0.62', ' 0.19']
['selena_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.00', ' 0.00', ' 0.00', ' 0.88', ' 0.00', ' 0.00', ' 0.00', ' 0.70', ' 0.00', ' 0.87', ' 0.58', ' 0.28']
['selena_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.20', ' 0.00', ' 0.00', ' 0.91', ' 0.00', ' 0.00', ' 0.00', ' 0.65', ' 0.00', ' 0.84', ' 0.59', ' 0.24']
['selena_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.87', ' 0.00', ' 0.00', ' 0.87', ' 0.04', ' 0.00', ' 0.00', ' 0.80', ' 0.00', ' 0.81', ' 0.62', ' 0.31']
['selena_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.02', ' 0.00', ' 0.00', ' 0.85', ' 0.07', ' 0.00', ' 0.00', ' 0.65', ' 0.00', ' 0.69', ' 0.43', ' 0.31']
['selena_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.87', ' 0.00', ' 0.00', ' 0.81', ' 0.16', ' 0.00', ' 0.00', ' 0.73', ' 0.00', ' 0.71', ' 0.62', ' 0.36']
['selena_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.77', ' 0.00', ' 0.00', ' 0.79', ' 0.09', ' 0.00', ' 0.00', ' 0.53', ' 0.00', ' 0.60', ' 0.50', ' 0.39']
['selena_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.67', ' 0.00', ' 0.00', ' 0.78', ' 0.01', ' 0.00', ' 0.00', ' 0.62', ' 0.00', ' 0.56', ' 0.61', ' 0.46']
['selena_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 0.00', ' 0.00', ' 0.75', ' 0.20', ' 0.00', ' 0.00', ' 0.78', ' 0.00', ' 0.46', ' 0.57', ' 0.55']
['selena_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.70', ' 0.00', ' 0.00', ' 0.77', ' 0.00', ' 0.00', ' 0.00', ' 0.72', ' 0.00', ' 0.44', ' 0.37', ' 0.59']
['selena_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 0.00', ' 0.71', ' 0.15', ' 0.00', ' 0.00', ' 0.58', ' 0.02', ' 0.33', ' 0.62', ' 0.62']
['selena_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 0.00', ' 0.00', ' 1.13', ' 0.09', ' 0.00', ' 0.00', ' 0.61', ' 0.00', ' 1.21', ' 0.48', ' 0.00']
['taylor_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.11', ' 1.43', ' 0.02', ' 0.00', ' 1.73', ' 0.86', ' 0.00', ' 0.05', ' 0.00', ' 0.27', ' 0.87', ' 0.29', ' 0.22']
['taylor_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.99', ' 1.38', ' 0.00', ' 0.00', ' 1.73', ' 0.73', ' 0.00', ' 0.00', ' 0.00', ' 0.09', ' 0.89', ' 0.25', ' 0.13']
['taylor_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.11', ' 1.06', ' 0.06', ' 0.02', ' 1.69', ' 0.97', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 0.16', ' 0.25']
['taylor_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.06', ' 1.19', ' 0.13', ' 0.19', ' 1.74', ' 0.97', ' 0.00', ' 0.00', ' 0.00', ' 0.10', ' 0.91', ' 0.31', ' 0.12']
['taylor_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.99', ' 1.09', ' 0.15', ' 0.17', ' 1.67', ' 1.12', ' 0.00', ' 0.00', ' 0.03', ' 0.09', ' 0.96', ' 0.31', ' 0.21']
['taylor_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.04', ' 1.28', ' 0.24', ' 0.26', ' 1.70', ' 1.14', ' 0.00', ' 0.00', ' 0.01', ' 0.23', ' 0.94', ' 0.21', ' 0.12']
['taylor_0.42.csv', ' 0.00', ' 0.00', ' 0.15', ' 0.00', ' 1.18', ' 1.25', ' 0.18', ' 0.41', ' 1.61', ' 1.11', ' 0.00', ' 0.00', ' 0.00', ' 0.13', ' 0.97', ' 0.28', ' 0.12']
['taylor_0.44.csv', ' 0.00', ' 0.00', ' 0.39', ' 0.00', ' 1.25', ' 1.02', ' 0.38', ' 0.35', ' 1.65', ' 1.39', ' 0.00', ' 0.00', ' 0.27', ' 0.08', ' 0.87', ' 0.04', ' 0.13']
['taylor_0.46.csv', ' 0.00', ' 0.00', ' 0.24', ' 0.00', ' 1.13', ' 0.84', ' 0.52', ' 0.32', ' 1.63', ' 1.27', ' 0.00', ' 0.00', ' 0.03', ' 0.19', ' 0.79', ' 0.13', ' 0.10']
['taylor_0.48.csv', ' 0.00', ' 0.00', ' 0.52', ' 0.00', ' 1.23', ' 0.77', ' 0.54', ' 0.36', ' 1.62', ' 1.41', ' 0.00', ' 0.00', ' 0.04', ' 0.22', ' 0.76', ' 0.06', ' 0.22']
['taylor_0.5.csv', ' 0.00', ' 0.00', ' 0.65', ' 0.00', ' 1.17', ' 0.72', ' 0.54', ' 0.34', ' 1.52', ' 1.13', ' 0.00', ' 0.00', ' 0.16', ' 0.12', ' 0.74', ' 0.00', ' 0.08']
['taylor_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.63', ' 0.98', ' 0.00', ' 0.00', ' 1.05', ' 0.00', ' 0.00', ' 0.15', ' 0.00', ' 0.28', ' 0.59', ' 0.00', ' 0.17']
['zac_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.06', ' 0.75', ' 1.61', ' 0.00', ' 0.00', ' 1.56', ' 0.06', ' 0.00', ' 0.00', ' 0.00', ' 0.58', ' 1.09', ' 0.54', ' 0.34']
['zac_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.11', ' 0.81', ' 1.19', ' 0.00', ' 0.00', ' 1.49', ' 0.00', ' 0.00', ' 0.05', ' 0.00', ' 0.32', ' 1.04', ' 0.50', ' 0.37']
['zac_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.83', ' 1.33', ' 0.00', ' 0.00', ' 1.62', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.25', ' 1.04', ' 0.75', ' 0.39']
['zac_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.82', ' 1.43', ' 0.00', ' 0.00', ' 1.70', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.38', ' 1.10', ' 0.90', ' 0.42']
['zac_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.71', ' 1.39', ' 0.00', ' 0.00', ' 1.54', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.19', ' 1.09', ' 1.00', ' 0.40']
['zac_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.23', ' 0.67', ' 1.24', ' 0.00', ' 0.00', ' 1.46', ' 0.07', ' 0.00', ' 0.00', ' 0.00', ' 0.33', ' 1.07', ' 1.08', ' 0.48']
['zac_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.78', ' 1.07', ' 0.00', ' 0.00', ' 1.53', ' 0.15', ' 0.00', ' 0.03', ' 0.00', ' 0.31', ' 1.14', ' 1.36', ' 0.48']
['zac_0.44.csv', ' 0.07', ' 0.00', ' 0.00', ' 0.08', ' 0.80', ' 1.16', ' 0.00', ' 0.01', ' 1.56', ' 0.27', ' 0.00', ' 0.12', ' 0.00', ' 0.28', ' 1.10', ' 1.48', ' 0.54']
['zac_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.14', ' 0.76', ' 1.10', ' 0.00', ' 0.14', ' 1.55', ' 0.25', ' 0.00', ' 0.10', ' 0.00', ' 0.17', ' 1.09', ' 1.19', ' 0.49']
['zac_0.48.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.34', ' 0.79', ' 1.59', ' 0.00', ' 0.28', ' 1.65', ' 0.39', ' 0.00', ' 0.01', ' 0.00', ' 0.36', ' 1.12', ' 1.15', ' 0.47']
['zac_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.36', ' 0.74', ' 1.71', ' 0.00', ' 0.00', ' 1.60', ' 0.25', ' 0.00', ' 0.00', ' 0.00', ' 0.31', ' 1.04', ' 0.96', ' 0.50']
['zac_mean.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 1.47', ' 0.00', ' 0.00', ' 1.52', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 1.10', ' 0.00', ' 0.24']
